,location,date,word_count,latitude,longitude,source,source_id,description,country,shape_class
64658,5205613,2016-09-04 00:00:00,22.0,36.21398,-83.29489,2.0,S129694,"3 triangle shaped lights,moving at a steady speed,north,then changing direction south and speeding away out of sight.
Shape: Triangle
Duration: 5-8 minutes",US,
141004,5238910,2011-09-02 00:00:00,327.0,36.39422,-87.03667,1.0,33155,"Small (star like) light being followed by what appeared to be a plane or helicopter.

My wife and I were sitting on our front porch around midnight. We live out in the country and did not have any of our outside lights on--we like to look at the stars. After about 5 minutes of sitting there, my wife said, ""Is that a helicopter or plane?"" I looked where she was pointing and saw what appeared to be the lights (red blinking and solid white) of a helicopter or plane just above the tree line. The lights were far enough apart for me to believe it was a helicopter less than a mile away. But we should have been able to hear it...so at this point I was thinking it was a plane further away. But then things became bizzare; the white solid light began moving away from the blinking red light at a very rapid rate of speed--at least twice as fast. So at this point I was thinking it couldn't be a plane further away because the other light couldn't possibly move that fast. So at this point I was thinking it was a closer helicopter again chasing some smaller object with the solid white light. But if it were closer, why couldn't we hear anything? We watched as the white light was far enough away to disappear behind the tree line and then a minute later the helicopter disappeared behind the tree line too. We first saw it when it was basically directly in from of us to the North and watched as both lights headed East in a straight line and disappeared within one minute.

I do not know what it was that we saw, but being the rational person I am it must have been the airforce testing some small aircraft and following it with another plane. They were heading toward Fort Campbell which is about a 45 minute drive from our house.",US,
30631,5215704,2019-09-30 02:20:00,433.0,50.95843,-0.13287,1.0,103679,"strange tiny/little orbs and other shapes up to size of a male hand

seeing lots of strange phenoma i cant explain 
1- high up in the sky - seeing strange blue flashes of light that always happen in 2's (about 1-2seconds between the 2 flashes) ...seen this 3 times ( everytime in 2's)
also seeing glowing star like/round orbs very high up , most of the time in straight lines, but have seen some of these at alot lower altitudes ( just over rooftops sometimes) they sometimes are really bright, and leave glowing plasma like trails behind them (sometiems blue ish sometimes orange ish) have seen one even do a 180 turn leaving a glowing orange streak as it did this, they sometimes disapear in plain sight .
2-rooftop heights- im often seeing strange shapes that are almost invisible ( like a bubble u can see through it but u know its there ) that im sure are some type of apparation/entity that even seem to set off the local dogs barking mad (mostly around 10-11pm) 
3-inside home- the same phenoma of strange shapes of light and golfball sized round orbs inside my home ( majority in the two bedrooms ) 
its the ouside stuff im more interested in , i beleive im being ignored and that a realy good chance to explore/learn about a strange phenoma is being passed by, everything above is happening everynight, and possibly at day, ive observed all this happening for the last 3 onths, and every night i see at least one of the above if not all , ive invited people round who have also witnessed the same as what im seeing, i was even lucky enough to have someone with me when the more stranger phenoma happened , ive had 3 differant people spend one night at my flat and they have all seen it , the video im attaching was taken afew hours ago, its only the first minute that i could see much happening specially at 28 seconds 2 orbs come from differant places then seem to mimic each other semetricly , there is is also alot of orbs and shapes moving about and fleeing the area as im setting the camera up ( also attaching a photo from 10 seconds in from video that looks rather strange , also i apoligize for not being very computer handy at editing videos, otherwise i would jsut send the first minute, ( its only the first min that holds much to look at , so please feel free to ignore the other 23mins of video",GB,
233022,5213248,1990-11-17 17:55:00,419.0,44.25029,-85.50033,2.0,S12341,"At dusk, my Dad and I were walking out of our blinds after deer hunting and our attention was drawn to the lights in the sky, not far above us. One object was shaped like a pipe with lights on each end; the other was just a light by itself.

My Dad and I were out in the woods deer hunting and when it got too dark to hunt, my Dad walked over to my blind to get me. Just after we left my blind at about 5:55 that evening, our attentions were drawn to some lights up in the sky. There were no clouds and no wind that evening and it was still light enough out, that you couldn't see any stars yet, nor did you need a flash light to see where you were going. My Dad and I saw them at the same time. They weren't that far up into the sky; maybe a 1000 feet or less. The larger object was the shape of a pipe (but of course, much larger) with a bright light at each end of it. They seemed to be as bright and as large as head lights would be on a car. The other object was sightly lower and to the left of the larger object and it was just a light. Neither of them made any sound and they just hovered in one spot; we never saw them move. My Dad then drew up his gun to look at them through his scope. When he did this, they slowly dimmed their lights and disapeared, vanishing, without ever moving! It was as if they were watching us. As light as it still was out there, we should have been able to see the outline of the objects, in the air, but they were gone. I was shaking soo hard after we saw them, I had a hard time walking out. Note: Earlier that evening, we heard military jets flying around the area. I don't ever recall hearing them fly around there in the 16 years I've hunted there. Do you think they were looking for something? Note: After we came home, after our week of hunting, I did create an ink and watercolor painting, of the objects. I would submit them, but I didn't know how to scan and email pictures yet. If you would like a copy of the painting, contact me and I'll mail you one.
Shape: Cigar
Duration: 20-30 seconds
Characteristics: There were lights on the object",US,
83490,5188517,2015-05-21 23:00:00,160.0,39.96118,-82.99879,2.0,S119215,"Blue circle light that hovered, flew left and right, then descended.

Was on balcony of apartment talking with my boyfriend when i noticed a bright very blue light. Normally, i would dismiss as a helicopter but have never seen one with such a blue light before. 

As we talked, i watched as it slowly descended perfectly straight down then hovered still in the sky. Then it glided straight and perfect to the right about a half fields distance. Then it glided perfectly straight to the left in the opposite direction. Then glided on the same perfectly straight path back to the middle and slowly descended perfectly straight down. It was a perfect cross it traveled now that i think about it. As far as I've known, there are no known air crafts that can move so perfectly and at such sharp angles.
Shape: Circle
Duration: 2 minutes
Characteristics: There was an aura or haze around the object, The object landed",US,
273012,5188046,1965-02-02 00:00:00,116.0,,,3.0,1yz0vky,"Airborne & Ground Sightings, Radar TrackDan
Wilson:

February 2, 1965; Richmond, Virginia; Washington DC;
Baltimore, Maryland
At 4:10 p.m. EST, a round or cone-shaped silver object was
observed by a weather observer through a theodolite at Richmond,
Virginia. The object was moving on an easterly course. The object was
picked up on radar. The object was observed south and east of Patuxent
River at 5:40 p.m., and over Wallops Island at 5:05 p.m. There were
airborne sightings near Baltimore and Washington by two ANG F-86H's at
38,000 feet and two Navy F8C's at 50,000 feet. The object was observed
over a period of 2-3 hours or more. (Dan Wilson)

Detailed reports and documents
reports/650202VA-DC-MD_rep.htm (Dan Wilson)",,
222288,5267578,1997-02-01 00:40:00,14.0,49.25014,-84.49983,4.0,152876,A crescent-shaped object was observed. One yellow crescent-shaped object was observed by one witness.,CA,
299541,5238505,1941-06-01 13:00:00,120.0,43.95528,-86.45258,2.0,S32000,"As a boy some 60 plus years ago I saw a round silver disc in the sky when I looked up from playing with ant hills.

Im mow age 67 but I can recall the sighting as if it were yesterday for some reason. And that I think is the most amazing thing. I was a little boy about age 5 & playing with ant hills in the dirt road (it was dead-end here) when I looked to the West & saw coming toward me a round silver like disk about 500 to 1000 feet above Hamlin Lake. It yhen stopped & reversed course and went toward Manistee, Mi.

((NUFORC Note: Date is approximate. PD))
Shape: Disk
Duration: 30 seconds",US,
198339,5219915,2002-11-22 17:22:00,116.0,42.17421,-83.17937,2.0,S26700,"A large triangular shaped object that made a very loud noise

We were on our way home from the movies when all of a sudden we heard a loud noise coming from the air. When we loked up we saw a trinagular shape with white and red lights. When it came down a little we saw the details of on the craft. It had red and blue stripes along it and a odd shapped symbol at the end. The event took about 5 minutes then it flew away
Shape: Triangle
Duration: 5 minutes
Characteristics: There were lights on the object, The object left a trail, The object made a sound, There were electrical or magnetic effects",US,
156226,5225866,2010-03-04 08:50:00,177.0,37.93576,-122.34775,1.0,22126,"Two UFO's flew right over the Richmond/San Rafael bridge

I was driving ion my car and comin onto the Richmond/ San Rafael bridge, andI had just past the toll plaza, and was coming up on an incline so my sight was shifted up to the sky, when I noticed 2 very small silver things flying across the bridge in fron of my car, at first I thought they were jet planes but then I could see they were too small to be jets, and I noticed that it was silent as they flew by, so I knew they could not have been jet planes, I even waited with my radio turned down and window rolled down to see if I could hear them after they flew by, and I couldn't hear a sound. As they were passing me by I saw they were bright shiny silver with an opalessence to the metal, it was a metal I had never seen before in my life. Whatever they were, they were not anything I've ever seen in my life.",US,
105001,5295099,2013-12-25 21:00:00,139.0,,,1.0,52953,"{nd} Extremely bright flashing red green blue white stationary above 30 k feet not a star

Walking dog Xmas night at ski resort in co. Noticed strange light in sky blinking red green blue and brilliant white. Got two witnesses and a cruddy video. Looked at it thru binoculars. Stayed there for at least 45m then we went inside. No way it was star. Saw several planes. It was way up in the sky cause I was at 10k feet on a prefectly cloudless night. I did call police to see if anyone else reported anything. They said no. Wild stuff. Really unexplainable. There could have been a second object lower in sky but it was behind top of Mtn and trees. This all happened between 9 and 10 mtn time. Let me know if you want the vid.",US,
182905,5259171,2005-09-02 02:20:00,157.0,47.5301,-122.03262,2.0,S45979,"Blue and orange object in the sky

We were driving home on I-90 going west and had just passed the Issaquah/Hobart exit.

It was a black ring with blue ""flame"" (it was not flame, it looked a little like fumes or gas maybe) around the front that became orange in the back. The orange color made a long tail or trail behind the object. The trail was a perfect straight line.

My wife and I have seen falling stars before, this was NOT a falling star.

It did appear to be moving downward or maybe falling.

I have never seen a meteor falling to earth, but I cannot imagine a meteor having that blue color. I also would find it hard to believe a metoer trail would be perfectly straight.

I was hoping someone else saw this.
Shape: Circle
Duration: 5 seconds
Characteristics: The object left a trail, There was an aura or haze around the object",US,
206374,5219010,2001-02-22 17:19:00,517.0,28.75054,-82.5001,2.0,S16608,"Possible exotic new stealth aircraft witnessed.

TIME: 5:19 pm, U.S. east coast time, still daylight out, sun was above the treetops. LOCATION: Charlotte County (northern southwest Florida, on the Gulf of Mexico). EVENT: I was outside my home, returning from my mailbox and spotted a contrail in progress above my location. There were other contrails in the sky nearer the horizon, some criss-crossing. With the unaided eye, the size of the contrail was about half the width of a pencil at arm's length, with an elongated object about half the size of a pencil tip traveling in front of it. What was unusual was that the object was displaying a single reddish-orange glow or light along its length. I rushed and got a pair of binoculars and observed that the object appeared to be a conventional looking passenger or cargo jet, except for one big difference: its fuselage, at least the underside portion observable to me on the ground, was glowing or radiating a uniform bright reddish-orange color (not a point of light, but the entire length of the fuselage). The wings were normal in appearance, not glowing or lighted, and appeared, from the great distance, to be white, tan, or gray. Two contrails were forming a short distance behind the aircraft, which then combined into a single contrail (a normal occurrence). The aircraft was traveling southward along the Gulf Coast of Florida, yet slightly inland. The nearest international airport it could have flown out of is in Sarasota, and then north of that, in Tampa, where there is also a major headquarters-status U.S. Air Force base (the Gulf War was managed from there). Since the sun was still above the treetops and there was no evidence of any sunset activity in the sky (even if there was, the aircraft would have needed a mirrored fuselage to reflect the level of light seen), I lowered my binoculars and rushed inside the open side door to my garage to get a video camera I keep on a shelf and back outside. I timed it after the event and my eyes were off the aircraft only 8 seconds. When I looked back up in the sky, all I saw was the contrail cut off in its tracks where I had seen it last and no aircraft. I searched with my binoculars and couldn't locate any evidence of it, which should have still been visible. I wish now I had kept observing the jet with the binoculars for those 8 seconds. Was what I saw an exotic new U.S. stealth aircraft fitted with a skin of light panels that could allow it to blend into the sky upon activation, or is there a conventional explanation? I don't know. All I can do is report what I observed. I've witnessed one other definitely exotic stealth aircraft earlier in my life, totally different than this incident, but some things need and deserve continued secrecy.
Shape: Other
Duration: :02-:03 min.
Characteristics: There were lights on the object, The object left a trail, There were aircraft in the vicinity or aircraft chasing the object",US,
94683,5241655,2014-08-10 19:00:00,50.0,49.25014,-84.49983,2.0,S112399,"diamond shape, low to ground, low noise, 3 lights, then 1 light moved closer to one otherr light

low to ground, diamond shape,3 lights. Then 1 light moved closer to another, low noise.
Shape: Diamond
Duration: 5 minutes
Characteristics: There were lights on the object, The object made a sound",CA,
84792,5218949,2015-04-13 22:24:00,239.0,41.13967,-112.0505,1.0,64639,"{cak} 4-5 amber colored starlike shapes, traveling in formation, traveling from the south , heading in a straight line directly north

I was reclining in my lawn chair at aprox 22:24, when directly overhead, traveling straight north, I saw 4-5 shapes, resembling large stars, amber in color, flying in formation, pass directly overhead. These objects traveled in a ""V"" formation, were silent, seemed to be about 200 feet off the ground, and they appeared to be within 5 - 10 feet of each other. my home is very close to an Air Force Base, and also sits directly under the flight path of incoming and outgoing commercial aircraft going to and from Salt Lake Int'l Airport. At the same time I saw this anomaly, there were commercial flights in the area. Judging by the speed of these commercial jets, it appeared that the items I saw were traveling at approximately the same speed as does a commercial jet, but much slower than an F-16. It was a calm night, little to no cloud cover, a light breeze, and the stars in the sky were clearly visible. The object(s) were travelling so quickly and at such a low altitude, that I lost sight of them within a very short time. The objects never changed color, shape, speed or direction. But since they were traveling in unison or formation, it certainly appeared to me that they were flying under intelligent control.",US,
109512,5188454,2013-09-16 05:35:00,324.0,36.17497,-115.13722,1.0,50854,"{kt}second day in a week that I saw what looked to be a star in a clear sky moving.

So I am used to waking up early for work even on days off and I often go to grab a breakfast item from the near by fast food spot. The first morning as I was pulling into my block I saw two objects..white lights appearing to be a star or satellite or a plane at the time.....so I drove out behind my house into the dark desert as I am located on the very edge of town...parked and got out to watch these objects.  One stayed on a steady path moving as a satellite or plane would. ""I am sure it was not a plane as there were no flashing lights and I am accustomed to seeing air planes in las vegas"" and the second object appeared to fade away as if it was rapidly moving up into space. The first object that was identical was still moving on the original path moving southwest to north or northwest toward Creech AFB of possibly A51.  After thinking that sighing was not an airplane since it had no flashing lights and since the sun was not up I was doubtful on a satellite theory I decided to venture out to see if I saw anything this morning at the same time... to my surprise there it was again..at the same time. 5:30 am or so... moving over what seems to be the mountain range between Pahrump and Las Vegas. This object was the same in description..only one this time and it stayed on a steady path moving SW to NW I believe.

I will continue to watch for this daily as I believe it is either a Military UFO or the Tall Whites out at Indian Springs ""Creech AFB"" doing their nightly running around.
 Funny I never see any planes along this flight path..only these objects.",US,
271264,5192903,1965-09-23 12:00:00,2.0,39.63562,-84.07077,7.0,BB-9962,Result: Aircraft,US,
215011,5198505,1999-03-03 12:00:00,1.0,-11.85,-76.45,4.0,121418,,PE,
217907,5204257,1998-07-23 20:00:00,95.0,49.16638,-123.94003,2.0,S03935,"small cigar shaped craft, slowly moved across the sky.

In the evening while playing badminton outside, on object was seen in the sky. It was a definite cigar shape: no wings and sharp corners, just a definite rectanglular shape. There was no vapour (or any other) trail. It moved slowly across the twilight sky. It made no sounds. It travelled at a constent, yet slow velocity, in a perfectly straight line north to south. It could not have been a jet: no sound, no wings, no vapour trail, too slow.
Shape: Cigar
Duration: 30 seconds",CA,
131930,5250839,2012-05-02 08:20:00,83.0,34.5003,-111.50098,2.0,S88886,"This is a note for PD and/or whom is responsible for posting these reports. 

I entered a report earlier today (10 MAY 12) yet realized I had entered the event time as 8:20. It should have been 20:20, as in 8:20pm. I apologize for the inconvenience. 

Hopefully I've provided you with enough information to be able to match this note with the original report. Feel free to contact me by email if you have any further questions.

Thanks for your work.
Shape: Sphere",US,
5473,5450699,2021-11-08 21:30:00,186.0,35.75035,-86.25027,2.0,S165202,"While operating a flight New York to San Francisco near the Ohio/Indiana border, I saw what looked initially like a satellite however it became apparent that it was operating in a figure eight pattern. We were on about a 250 degree course and what I saw was about 40 degrees to our right and at very high altitude and seemingly quite distant laterally and Im assuming upper atmospheric or even higher. It took approximately 3-4 minutes to complete a turn and become visible again and it looked like it was being lit by the sun very much like a satellite would. As I stated however, after completing a circle, it turned in a direction opposite of its prior turn producing a figure eight pattern. After about 1.5 to 2 hours, I lost sight of the object until approaching the front range near Denver where I saw it again only this time there was what appeared to be 2 vehicles making a left turn. I lost sight of them permanently afterwards. In all my years of flying, Ive never anything like that.
Shape: Light
Duration: 2 hours",US,
191049,5245395,2004-03-20 06:00:00,246.0,38.71678,-77.13276,2.0,S36625,"UFO TRAVELING AT SAME RATE AND SPEED FLYING PERFECTLY RIGHT BESIDE AN AIRPLANE

Later in the afternoon, me and my buddy was outside his house waiting at his car for my dad to come pick us up. We were talking and I looked up in the sky and I saw an airplane. The weird thing was that there was another flying object flying perfectly right beside the airplane. I mean it was going at the same exact speed that the airplane was, without moving or turning or anything. The unknown object beside the airplane looked as though it was larger than the airplane and it had a very bright glow to it. But the oddest thing about the object was that, unlike the airplane, it looked as though it was floating through the air and there was no smoke cloud left behind it like all flying aircrafts make when theyre being flown. Which leads me to believe that this was a supernatural occurence and that it was a UFO. After about 4 or 5 minutes the object and the airplane got so far away that they werent visible to us any longer. I wonder if anyone in that plane saw anything during their flight and if their were any reports? It was so high up, I couldnt tell what shape it was.

((NUFORC Note: Date is approximate. PD))
Shape: Unknown
Duration: about 5 min.
Characteristics: There were aircraft in the vicinity or aircraft chasing the object",US,
297909,5262686,1948-01-01 23:55:00,10.0,56.0,10.0,4.0,150459,Nocturnal lights were observed by three witnesses for 20 minutes.,DK,
298767,5194909,1947-01-01 12:00:00,4.0,61.21806,-149.90028,4.0,012736,USA incident. Explanation: Meteor.,US,
23734,5203006,2020-03-24 21:45:00,233.0,31.84568,-102.36764,2.0,S154576,"Okay. I can't believe I'm going to do this. Here goes.

I have been witnessing since 2014. Mostly orbs, ""stars,"" sparklers

Okay. I can't believe I'm going to do this. Here goes.

I have been witnessing since 2014. Mostly orbs, ""stars"", sparklers, weird lights in general. Only once have I seen a solid craft.

I felt compelled to report because I saw something almost exactly like the recent events at Bowling Green and Round Rock. I saw a line of what I might have dismissed as satellites, but they were in the wrong place. I stopped counting at some point. They all appeared out if thin air at a certain point Southwest of Venus. One after the other they followed the same trajectory and disappeared into nothing after maybe a length of 10-15 degrees(? I can't think of a more objective way to describe the distance).

They weirdest part is that they all flashed at the midway point in their journey. It built up then diminished, not instant like a camera. All at the same spot, just after passing beneath Venus. Only one of the objects fucked up. And there was a brief pause at some point. I easily saw over 40 crafts in the span of ten minutes. I've seen a lot of wild stuff, but nothing like this before.
Shape: Light
Duration: 15 minutes
Characteristics: There were lights on the object",US,
190324,5188514,2004-05-05 09:00:00,249.0,39.76838,-86.15804,2.0,S36730,"Unidentified object in night skies over Indianapolis

Initially the object appears as soon as the skies are dark, about 9:00 P.M. in Indianapolis. It appears to be a bright star in thw western sky, about 40 degrees above the horizon It has been observed every night for about 2 weeks, except when skies overcast.The amazing thing is that as you watch it the light begins to move, drifting from side to side over about 45 degrees left or right. some times slowly, sometimes dashing across the sky, sometimes moving up in the sky until almost overhead, then drifting or darting back to its original area of the sky.

During all these maneuvers the object appears to be a bright spot of light, sometimes with a faint red corona. It's most amazing behavior is its transformation into a brightly colored little carnival badge, with what look like neon tubes emanating from its perimeter.

At its brightest it seems to have gaudy feathers on it top, abd shafts if red kigyht where legs would be. lights twinkle brightly, and the object moves slowly around as if parading its splendor. Then it turns back into a bright light and zooms around some more.My neighbors and I have observed fdor 8 or 9 nights amd I believe it is visible all night.

((NUFORC Note: Sighting of Venus. PD))
Shape: Light
Duration: All evening
Characteristics: There were lights on the object, There was an aura or haze around the object, The object changed color",US,
87332,5410614,2015-01-24 23:03:00,35.0,8.4855,76.94924,2.0,S116922,"Speedy, zigzag-moving, bright object.

Something bright extraordinary star blinking in different colours, and having speedy zigzag motion.

((NUFORC Note: Witness elects to remain totally anonymous; provides no contact information. PD))
Shape: Fireball
Duration: 1 minute",IN,
